RGN22CD,RGN22NM,RGN22NMW,CTRY11CD
E12000001,North East,Gogledd Ddwyrain,E92000001
E12000002,North West,Gogledd Orllewin,E92000001
E12000003,Yorkshire and The Humber,Swdd Efrog a Humber,E92000001
E12000004,East Midlands,Dwyrain y Canolbarth,E92000001
E12000005,West Midlands,Gorllewin y Canolbarth,E92000001
E12000006,East of England,Dwyrain Lloegr,E92000001
E12000007,London,Llundain,E92000001
E12000008,South East,De Ddwyrain,E92000001
E12000009,South West,De Orllewin,E92000001
W10000001,North Wales,Gogledd Cymru,W92000004
W10000006,Mid and West Wales,Canolbarth a Gorllewin Cymru,W92000004
W10000007,South Wales Central,Canol De Cymru,W92000004
W10000008,South Wales East,Dwyrain De Cymru,W92000004
W10000009,South Wales West,Gorllewin De Cymru,W92000004
